FID,cvalue,NAME,ENAME,pop,NTL,GDP,emp,invest,income,retail,edu,health
0,10,清远市,Qingyuan,379.11,108172,1093.04,200.14,505.97,21367.62,508.96,174,822
1,9,肇庆市,Zhaoqin,402.21,92203,1660.07,216.22,1007.78,23929.84,493.12,171,880
2,3,佛山市,Foshan,729.57,171075,7010.17,437.29,2375.6,38037.69,2264.1,191,1194
3,1,广州市,Guangzhou,1292.68,251062,15420.14,759.93,4447.3,42049.14,6882.85,494,2639
4,18,云浮市,Yunfu,242.84,45566,602.3,132.66,623.38,20440.34,204.02,104,373
5,2,深圳市,Shenzhen,1062.89,101713,14500.23,899.2,2490.2,44653.1,4433.59,314,2885
6,7,中山市,Zhongshan,317.39,87256,2638.93,210.3,962.93,34273.94,890.55,100,502
7,19,阳江市,Yangjiang,247.96,58927,1039.84,128.97,598.66,21433.64,527.29,112,434
8,8,江门市,Jiangmen,449.76,129158,2000.18,244.3,1000.84,29772.27,903.7,184,775
9,20,茂名市,Maoming,601.25,73877,2160.17,280.54,660.53,20035.92,1008.79,277,456
10,6,珠海市,Zhuhai,159.03,48848,1662.38,106.32,960.89,36374.97,720.52,65,518
11,21,湛江市,Zhanjiang,716.71,96107,2060.01,336.37,795.58,22371.42,1010.7,328,1190
12,11,韶关市,Shaoguan,289.27,61362,1010.07,143.78,664.52,25594.73,471.11,153,657
13,13,梅州市,Meizhou,430.7,75777,800.01,211.93,280.5,20737.36,450.18,233,1042
14,12,河源市,Heyuan,303.76,54682,680.33,135.19,342.73,18436.13,236.61,183,385
15,14,潮州市,Chaozhou,271.21,48493,780.34,131.02,253.63,19674.23,354.14,126,793
16,15,汕头市,Shantou,547.91,70202,1565.9,239.67,780.9,22206.11,1158.92,280,618
17,4,东莞市,Dongguan,831.66,138966,5490.02,633.25,1383.94,46594.49,1486.66,207,1106
18,17,汕尾市,Shanwei,298.62,48932,671.75,119.68,462.09,20485.26,473.56,172,376
19,5,惠州市,Huizhou,470,165734,2678.35,277.27,1401.3,32991.49,857.91,221,1096
20,16,揭阳市,Jieyang,599.47,84215,1605.35,273.64,829.39,20980.09,657.66,277,347
